"Statistic Label","Census Year","CSO Small Areas 2022","Age","Sex","UNIT","VALUE"
"Population","2022","268032004","Age 0-4","Both Sexes","Number","10"
"Population","2022","157102004","Age 0-4","Males","Number","5"
"Population","2022","157102004","Age 0-4","Females","Number","5"
"Population","2022","157102004","Age 0-4","Both Sexes","Number","10"
"Population","2022","097061018","Age 0-4","Males","Number","2"
"Population","2022","097061018","Age 0-4","Females","Number","7"
"Population","2022","097061018","Age 0-4","Both Sexes","Number","9"
"Population","2022","207055010","Age 0-4","Males","Number","16"
"Population","2022","207055010","Age 0-4","Females","Number","20"
"Population","2022","207055010","Age 0-4","Both Sexes","Number","36"
"Population","2022","247120002","Age 0-4","Males","Number","2"
"Population","2022","247120002","Age 0-4","Females","Number","4"
"Population","2022","247120002","Age 0-4","Both Sexes","Number","6"
"Population","2022","067017017","Age 0-4","Males","Number","2"
"Population","2022","067017017","Age 0-4","Females","Number","3"
"Population","2022","067017017","Age 0-4","Both Sexes","Number","5"
"Population","2022","067176002","Age 0-4","Males","Number","11"
"Population","2022","067176002","Age 0-4","Females","Number","20"
"Population","2022","067176002","Age 0-4","Both Sexes","Number","31"
"Population","2022","077136002/02","Age 0-4","Males","Number","15"
"Population","2022","077136002/02","Age 0-4","Females","Number","11"
"Population","2022","077136002/02","Age 0-4","Both Sexes","Number","26"
"Population","2022","077155001","Age 0-4","Males","Number","11"
"Population","2022","077155001","Age 0-4","Females","Number","6"
"Population","2022","077155001","Age 0-4","Both Sexes","Number","17"
"Population","2022","057106026","Age 0-4","Males","Number","23"
"Population","2022","057106026","Age 0-4","Females","Number","20"
"Population","2022","057106026","Age 0-4","Both Sexes","Number","43"
"Population","2022","177034002","Age 0-4","Males","Number","11"
"Population","2022","177034002","Age 0-4","Females","Number","10"
"Population","2022","177034002","Age 0-4","Both Sexes","Number","21"
"Population","2022","077136005/077136003","Age 0-4","Males","Number","11"
"Population","2022","077136005/077136003","Age 0-4","Females","Number","2"
"Population","2022","077136005/077136003","Age 0-4","Both Sexes","Number","13"
"Population","2022","267120008","Age 0-4","Males","Number","3"
"Population","2022","267120008","Age 0-4","Females","Number","5"
"Population","2022","267120008","Age 0-4","Both Sexes","Number","8"
"Population","2022","047067002","Age 0-4","Males","Number","16"
"Population","2022","047067002","Age 0-4","Females","Number","13"
"Population","2022","047067002","Age 0-4","Both Sexes","Number","29"
"Population","2022","157154002","Age 0-4","Males","Number","3"
"Population","2022","157154002","Age 0-4","Females","Number","4"
"Population","2022","157154002","Age 0-4","Both Sexes","Number","7"
"Population","2022","268083012","Age 0-4","Males","Number","5"
"Population","2022","268083012","Age 0-4","Females","Number","2"
"Population","2022","268083012","Age 0-4","Both Sexes","Number","7"
"Population","2022","167029009","Age 0-4","Males","Number","10"
"Population","2022","167029009","Age 0-4","Females","Number","12"
"Population","2022","167029009","Age 0-4","Both Sexes","Number","22"
"Population","2022","077129006","Age 0-4","Males","Number","8"
"Population","2022","077129006","Age 0-4","Females","Number","10"
"Population","2022","077129006","Age 0-4","Both Sexes","Number","18"
"Population","2022","127039004","Age 0-4","Males","Number","10"
"Population","2022","127039004","Age 0-4","Females","Number","2"
"Population","2022","127039004","Age 0-4","Both Sexes","Number","12"
"Population","2022","247052005/02","Age 0-4","Males","Number","16"
"Population","2022","247052005/02","Age 0-4","Females","Number","12"
"Population","2022","247052005/02","Age 0-4","Both Sexes","Number","28"
"Population","2022","087069021","Age 0-4","Males","Number","12"
"Population","2022","087069021","Age 0-4","Females","Number","6"
"Population","2022","087069021","Age 0-4","Both Sexes","Number","18"
"Population","2022","047084003","Age 0-4","Males","Number","10"
"Population","2022","047084003","Age 0-4","Females","Number","8"
"Population","2022","047084003","Age 0-4","Both Sexes","Number","18"
"Population","2022","268144014","Age 0-4","Males","Number","6"
"Population","2022","268144014","Age 0-4","Females","Number","1"
"Population","2022","268144014","Age 0-4","Both Sexes","Number","7"
"Population","2022","107052013","Age 0-4","Males","Number","7"
"Population","2022","107052013","Age 0-4","Females","Number","13"
"Population","2022","107052013","Age 0-4","Both Sexes","Number","20"
"Population","2022","067113001","Age 0-4","Males","Number","10"
"Population","2022","067113001","Age 0-4","Females","Number","14"
"Population","2022","067113001","Age 0-4","Both Sexes","Number","24"
"Population","2022","247117039/01","Age 0-4","Males","Number","10"
"Population","2022","247117039/01","Age 0-4","Females","Number","7"
"Population","2022","247117039/01","Age 0-4","Both Sexes","Number","17"
"Population","2022","087023046","Age 0-4","Males","Number","4"
"Population","2022","087023046","Age 0-4","Females","Number","4"
"Population","2022","087023046","Age 0-4","Both Sexes","Number","8"
"Population","2022","268042008","Age 0-4","Males","Number","7"
"Population","2022","268042008","Age 0-4","Females","Number","11"
"Population","2022","268042008","Age 0-4","Both Sexes","Number","18"
"Population","2022","268058006","Age 0-4","Males","Number","4"
"Population","2022","268058006","Age 0-4","Females","Number","5"
"Population","2022","268058006","Age 0-4","Both Sexes","Number","9"
"Population","2022","267153006","Age 0-4","Males","Number","6"
"Population","2022","267153006","Age 0-4","Females","Number","2"
"Population","2022","267153006","Age 0-4","Both Sexes","Number","8"
"Population","2022","048033007","Age 0-4","Males","Number","4"
"Population","2022","048033007","Age 0-4","Females","Number","3"
"Population","2022","048033007","Age 0-4","Both Sexes","Number","7"
"Population","2022","267092054","Age 0-4","Males","Number","15"
"Population","2022","267092054","Age 0-4","Females","Number","15"
"Population","2022","267092054","Age 0-4","Both Sexes","Number","30"
"Population","2022","087047002/02","Age 0-4","Males","Number","20"
"Population","2022","087047002/02","Age 0-4","Females","Number","23"
"Population","2022","087047002/02","Age 0-4","Both Sexes","Number","43"
"Population","2022","087023020","Age 0-4","Males","Number","3"
"Population","2022","087023020","Age 0-4","Females","Number","3"
"Population","2022","087023020","Age 0-4","Both Sexes","Number","6"
"Population","2022","057127007","Age 0-4","Males","Number","8"
"Population","2022","057127007","Age 0-4","Females","Number","11"
"Population","2022","057127007","Age 0-4","Both Sexes","Number","19"
"Population","2022","087047019","Age 0-4","Males","Number","24"
"Population","2022","087047019","Age 0-4","Females","Number","24"
"Population","2022","087047019","Age 0-4","Both Sexes","Number","48"
"Population","2022","068001042","Age 0-4","Males","Number","11"
"Population","2022","068001042","Age 0-4","Females","Number","12"
"Population","2022","068001042","Age 0-4","Both Sexes","Number","23"
"Population","2022","257065008","Age 0-4","Males","Number","25"
"Population","2022","257065008","Age 0-4","Females","Number","14"
"Population","2022","257065008","Age 0-4","Both Sexes","Number","39"
"Population","2022","267143001/03","Age 0-4","Males","Number","33"
"Population","2022","267143001/03","Age 0-4","Females","Number","37"
"Population","2022","267143001/03","Age 0-4","Both Sexes","Number","70"
"Population","2022","268138009/01","Age 0-4","Males","Number","17"
"Population","2022","268138009/01","Age 0-4","Females","Number","13"
"Population","2022","268138009/01","Age 0-4","Both Sexes","Number","30"
"Population","2022","267140055/02","Age 0-4","Males","Number","43"
"Population","2022","267140055/02","Age 0-4","Females","Number","26"
"Population","2022","267140055/02","Age 0-4","Both Sexes","Number","69"
"Population","2022","027027004","Age 0-4","Males","Number","8"
"Population","2022","027027004","Age 0-4","Females","Number","9"
"Population","2022","027027004","Age 0-4","Both Sexes","Number","17"
"Population","2022","247053015","Age 0-4","Males","Number","0"
"Population","2022","247053015","Age 0-4","Females","Number","3"
"Population","2022","247053015","Age 0-4","Both Sexes","Number","3"
"Population","2022","048017002","Age 0-4","Males","Number","3"
"Population","2022","048017002","Age 0-4","Females","Number","6"
"Population","2022","048017002","Age 0-4","Both Sexes","Number","9"
"Population","2022","227022001","Age 0-4","Males","Number","9"
"Population","2022","227022001","Age 0-4","Females","Number","2"
"Population","2022","227022001","Age 0-4","Both Sexes","Number","11"
"Population","2022","267151013","Age 0-4","Males","Number","5"
"Population","2022","267151013","Age 0-4","Females","Number","10"
"Population","2022","267151013","Age 0-4","Both Sexes","Number","15"
"Population","2022","057123003","Age 0-4","Males","Number","6"
"Population","2022","057123003","Age 0-4","Females","Number","8"
"Population","2022","057123003","Age 0-4","Both Sexes","Number","14"
"Population","2022","077035012","Age 0-4","Males","Number","9"
"Population","2022","077035012","Age 0-4","Females","Number","3"
"Population","2022","077035012","Age 0-4","Both Sexes","Number","12"
"Population","2022","267097003/267121006/267121001","Age 0-4","Males","Number","9"
"Population","2022","267097003/267121006/267121001","Age 0-4","Females","Number","13"
"Population","2022","267097003/267121006/267121001","Age 0-4","Both Sexes","Number","22"
"Population","2022","117066004/117066002","Age 0-4","Males","Number","3"
"Population","2022","117066004/117066002","Age 0-4","Females","Number","6"
"Population","2022","117066004/117066002","Age 0-4","Both Sexes","Number","9"
"Population","2022","027012003","Age 0-4","Males","Number","9"
"Population","2022","027012003","Age 0-4","Females","Number","8"
"Population","2022","027012003","Age 0-4","Both Sexes","Number","17"
"Population","2022","057091003","Age 0-4","Males","Number","6"
"Population","2022","057091003","Age 0-4","Females","Number","7"
"Population","2022","057091003","Age 0-4","Both Sexes","Number","13"
"Population","2022","068001041","Age 0-4","Males","Number","8"
"Population","2022","068001041","Age 0-4","Females","Number","6"
"Population","2022","068001041","Age 0-4","Both Sexes","Number","14"
"Population","2022","157025003","Age 0-4","Males","Number","9"
"Population","2022","157025003","Age 0-4","Females","Number","12"
"Population","2022","157025003","Age 0-4","Both Sexes","Number","21"
"Population","2022","087025024","Age 0-4","Males","Number","6"
"Population","2022","087025024","Age 0-4","Females","Number","4"
"Population","2022","087025024","Age 0-4","Both Sexes","Number","10"
"Population","2022","047091002","Age 0-4","Males","Number","4"
"Population","2022","047091002","Age 0-4","Females","Number","2"
"Population","2022","047091002","Age 0-4","Both Sexes","Number","6"
"Population","2022","047324022","Age 0-4","Males","Number","6"
"Population","2022","047324022","Age 0-4","Females","Number","8"
"Population","2022","047324022","Age 0-4","Both Sexes","Number","14"
"Population","2022","267134022","Age 0-4","Males","Number","6"
"Population","2022","267134022","Age 0-4","Females","Number","9"
"Population","2022","267134022","Age 0-4","Both Sexes","Number","15"
"Population","2022","267155010","Age 0-4","Males","Number","11"
"Population","2022","267155010","Age 0-4","Females","Number","13"
"Population","2022","267155010","Age 0-4","Both Sexes","Number","24"
"Population","2022","037057018","Age 0-4","Males","Number","4"
"Population","2022","037057018","Age 0-4","Females","Number","4"
"Population","2022","037057018","Age 0-4","Both Sexes","Number","8"
"Population","2022","257039025","Age 0-4","Males","Number","2"
"Population","2022","257039025","Age 0-4","Females","Number","4"
"Population","2022","257039025","Age 0-4","Both Sexes","Number","6"
"Population","2022","147019051","Age 0-4","Males","Number","3"
"Population","2022","147019051","Age 0-4","Females","Number","3"
"Population","2022","147019051","Age 0-4","Both Sexes","Number","6"
"Population","2022","067163004","Age 0-4","Males","Number","2"
"Population","2022","067163004","Age 0-4","Females","Number","6"
"Population","2022","067163004","Age 0-4","Both Sexes","Number","8"
"Population","2022","268015005/02","Age 0-4","Males","Number","11"
"Population","2022","268015005/02","Age 0-4","Females","Number","15"
"Population","2022","268015005/02","Age 0-4","Both Sexes","Number","26"
"Population","2022","127018048","Age 0-4","Males","Number","7"
"Population","2022","127018048","Age 0-4","Females","Number","12"
"Population","2022","127018048","Age 0-4","Both Sexes","Number","19"
"Population","2022","197085001","Age 0-4","Males","Number","5"
"Population","2022","197085001","Age 0-4","Females","Number","2"
"Population","2022","197085001","Age 0-4","Both Sexes","Number","7"
"Population","2022","267034003","Age 0-4","Males","Number","10"
"Population","2022","267034003","Age 0-4","Females","Number","4"
"Population","2022","267034003","Age 0-4","Both Sexes","Number","14"
"Population","2022","268139009","Age 0-4","Males","Number","47"
"Population","2022","268139009","Age 0-4","Females","Number","43"
"Population","2022","268139009","Age 0-4","Both Sexes","Number","90"
"Population","2022","047271001","Age 0-4","Males","Number","4"
"Population","2022","047271001","Age 0-4","Females","Number","3"
"Population","2022","047271001","Age 0-4","Both Sexes","Number","7"
"Population","2022","147018005","Age 0-4","Males","Number","5"
"Population","2022","147018005","Age 0-4","Females","Number","7"
"Population","2022","147018005","Age 0-4","Both Sexes","Number","12"
"Population","2022","057114010/02","Age 0-4","Males","Number","8"
"Population","2022","057114010/02","Age 0-4","Females","Number","7"
"Population","2022","057114010/02","Age 0-4","Both Sexes","Number","15"
"Population","2022","137034001","Age 0-4","Males","Number","5"
"Population","2022","137034001","Age 0-4","Females","Number","3"
"Population","2022","137034001","Age 0-4","Both Sexes","Number","8"
"Population","2022","057084004","Age 0-4","Males","Number","12"
"Population","2022","057084004","Age 0-4","Females","Number","9"
"Population","2022","057084004","Age 0-4","Both Sexes","Number","21"
"Population","2022","177018001","Age 0-4","Males","Number","5"
"Population","2022","177018001","Age 0-4","Females","Number","4"
"Population","2022","177018001","Age 0-4","Both Sexes","Number","9"
"Population","2022","157087004","Age 0-4","Males","Number","7"
"Population","2022","157087004","Age 0-4","Females","Number","8"
"Population","2022","157087004","Age 0-4","Both Sexes","Number","15"
"Population","2022","267017005","Age 0-4","Males","Number","11"
"Population","2022","267017005","Age 0-4","Females","Number","18"
"Population","2022","267017005","Age 0-4","Both Sexes","Number","29"
"Population","2022","057143003","Age 0-4","Males","Number","10"
"Population","2022","057143003","Age 0-4","Females","Number","9"
"Population","2022","057143003","Age 0-4","Both Sexes","Number","19"
"Population","2022","197052001/197052002","Age 0-4","Males","Number","1"
"Population","2022","197052001/197052002","Age 0-4","Females","Number","1"
"Population","2022","197052001/197052002","Age 0-4","Both Sexes","Number","2"
"Population","2022","267065008","Age 0-4","Males","Number","5"
"Population","2022","267065008","Age 0-4","Females","Number","5"
"Population","2022","267065008","Age 0-4","Both Sexes","Number","10"
"Population","2022","217056019","Age 0-4","Males","Number","3"
"Population","2022","217056019","Age 0-4","Females","Number","4"
"Population","2022","217056019","Age 0-4","Both Sexes","Number","7"
"Population","2022","077101020","Age 0-4","Males","Number","4"
"Population","2022","077101020","Age 0-4","Females","Number","5"
"Population","2022","077101020","Age 0-4","Both Sexes","Number","9"
"Population","2022","268128011","Age 0-4","Males","Number","8"
"Population","2022","268128011","Age 0-4","Females","Number","10"
"Population","2022","268128011","Age 0-4","Both Sexes","Number","18"
"Population","2022","268162014","Age 0-4","Males","Number","1"
"Population","2022","268162014","Age 0-4","Females","Number","8"
"Population","2022","268162014","Age 0-4","Both Sexes","Number","9"
"Population","2022","217025001","Age 0-4","Males","Number","4"
"Population","2022","217025001","Age 0-4","Females","Number","6"
"Population","2022","217025001","Age 0-4","Both Sexes","Number","10"
"Population","2022","268136016","Age 0-4","Males","Number","2"
"Population","2022","268136016","Age 0-4","Females","Number","4"
"Population","2022","268136016","Age 0-4","Both Sexes","Number","6"
"Population","2022","247117014","Age 0-4","Males","Number","6"
"Population","2022","247117014","Age 0-4","Females","Number","5"
"Population","2022","247117014","Age 0-4","Both Sexes","Number","11"
"Population","2022","267099025","Age 0-4","Males","Number","14"
"Population","2022","267099025","Age 0-4","Females","Number","13"
"Population","2022","267099025","Age 0-4","Both Sexes","Number","27"
"Population","2022","268003007","Age 0-4","Males","Number","0"
"Population","2022","268003007","Age 0-4","Females","Number","0"
"Population","2022","268003007","Age 0-4","Both Sexes","Number","0"
"Population","2022","237011001","Age 0-4","Males","Number","11"
"Population","2022","237011001","Age 0-4","Females","Number","7"
"Population","2022","237011001","Age 0-4","Both Sexes","Number","18"
"Population","2022","268131007","Age 0-4","Males","Number","5"
"Population","2022","268131007","Age 0-4","Females","Number","13"
"Population","2022","268131007","Age 0-4","Both Sexes","Number","18"
"Population","2022","247117042","Age 0-4","Males","Number","1"
"Population","2022","247117042","Age 0-4","Females","Number","8"
"Population","2022","247117042","Age 0-4","Both Sexes","Number","9"
"Population","2022","267103004/05","Age 0-4","Males","Number","5"
"Population","2022","267103004/05","Age 0-4","Females","Number","8"
"Population","2022","267103004/05","Age 0-4","Both Sexes","Number","13"
"Population","2022","268110002","Age 0-4","Males","Number","2"
"Population","2022","268110002","Age 0-4","Females","Number","3"
"Population","2022","268110002","Age 0-4","Both Sexes","Number","5"
"Population","2022","027057006","Age 0-4","Males","Number","7"
"Population","2022","027057006","Age 0-4","Females","Number","4"
"Population","2022","027057006","Age 0-4","Both Sexes","Number","11"
"Population","2022","187026001","Age 0-4","Males","Number","9"
"Population","2022","187026001","Age 0-4","Females","Number","7"
"Population","2022","187026001","Age 0-4","Both Sexes","Number","16"
"Population","2022","267132018","Age 0-4","Males","Number","11"
"Population","2022","267132018","Age 0-4","Females","Number","9"
"Population","2022","267132018","Age 0-4","Both Sexes","Number","20"
"Population","2022","048042004","Age 0-4","Males","Number","2"
"Population","2022","048042004","Age 0-4","Females","Number","5"
"Population","2022","048042004","Age 0-4","Both Sexes","Number","7"
"Population","2022","087071047","Age 0-4","Males","Number","17"
"Population","2022","087071047","Age 0-4","Females","Number","11"
"Population","2022","087071047","Age 0-4","Both Sexes","Number","28"
"Population","2022","097101001","Age 0-4","Males","Number","14"
"Population","2022","097101001","Age 0-4","Females","Number","8"
"Population","2022","097101001","Age 0-4","Both Sexes","Number","22"
"Population","2022","237004001","Age 0-4","Males","Number","8"
"Population","2022","237004001","Age 0-4","Females","Number","7"
"Population","2022","237004001","Age 0-4","Both Sexes","Number","15"
"Population","2022","057030001/057030012","Age 0-4","Males","Number","13"
"Population","2022","057030001/057030012","Age 0-4","Females","Number","10"
"Population","2022","057030001/057030012","Age 0-4","Both Sexes","Number","23"
"Population","2022","057022010","Age 0-4","Males","Number","9"
"Population","2022","057022010","Age 0-4","Females","Number","5"
"Population","2022","057022010","Age 0-4","Both Sexes","Number","14"
"Population","2022","247033005","Age 0-4","Males","Number","4"
"Population","2022","247033005","Age 0-4","Females","Number","6"
"Population","2022","247033005","Age 0-4","Both Sexes","Number","10"
"Population","2022","128019005","Age 0-4","Males","Number","2"
"Population","2022","128019005","Age 0-4","Females","Number","3"
"Population","2022","128019005","Age 0-4","Both Sexes","Number","5"
"Population","2022","067119001","Age 0-4","Males","Number","11"
"Population","2022","067119001","Age 0-4","Females","Number","10"
"Population","2022","067119001","Age 0-4","Both Sexes","Number","21"
"Population","2022","187060001","Age 0-4","Males","Number","7"
"Population","2022","187060001","Age 0-4","Females","Number","7"
"Population","2022","187060001","Age 0-4","Both Sexes","Number","14"
"Population","2022","057026001","Age 0-4","Males","Number","2"
"Population","2022","057026001","Age 0-4","Females","Number","1"
"Population","2022","057026001","Age 0-4","Both Sexes","Number","3"
"Population","2022","217177001","Age 0-4","Males","Number","11"
"Population","2022","217177001","Age 0-4","Females","Number","8"
"Population","2022","217177001","Age 0-4","Both Sexes","Number","19"
"Population","2022","068022004","Age 0-4","Males","Number","20"
"Population","2022","068022004","Age 0-4","Females","Number","20"
"Population","2022","068022004","Age 0-4","Both Sexes","Number","40"
"Population","2022","267139001","Age 0-4","Males","Number","31"
"Population","2022","267139001","Age 0-4","Females","Number","21"
"Population","2022","267139001","Age 0-4","Both Sexes","Number","52"
"Population","2022","237003014","Age 0-4","Males","Number","7"
"Population","2022","237003014","Age 0-4","Females","Number","3"
"Population","2022","237003014","Age 0-4","Both Sexes","Number","10"
"Population","2022","087069025","Age 0-4","Males","Number","5"
"Population","2022","087069025","Age 0-4","Females","Number","6"
"Population","2022","087069025","Age 0-4","Both Sexes","Number","11"
"Population","2022","268135013","Age 0-4","Males","Number","4"
"Population","2022","268135013","Age 0-4","Females","Number","3"
"Population","2022","268135013","Age 0-4","Both Sexes","Number","7"
"Population","2022","047271021","Age 0-4","Males","Number","4"
"Population","2022","047271021","Age 0-4","Females","Number","12"
"Population","2022","047271021","Age 0-4","Both Sexes","Number","16"
"Population","2022","087001006","Age 0-4","Males","Number","15"
"Population","2022","087001006","Age 0-4","Females","Number","9"
"Population","2022","087001006","Age 0-4","Both Sexes","Number","24"
"Population","2022","047072017","Age 0-4","Males","Number","7"
"Population","2022","047072017","Age 0-4","Females","Number","10"
"Population","2022","047072017","Age 0-4","Both Sexes","Number","17"
"Population","2022","057035003","Age 0-4","Males","Number","7"
"Population","2022","057035003","Age 0-4","Females","Number","6"
"Population","2022","057035003","Age 0-4","Both Sexes","Number","13"
"Population","2022","047016050","Age 0-4","Males","Number","7"
"Population","2022","047016050","Age 0-4","Females","Number","13"
"Population","2022","047016050","Age 0-4","Both Sexes","Number","20"
"Population","2022","077129002","Age 0-4","Males","Number","3"
"Population","2022","077129002","Age 0-4","Females","Number","8"
"Population","2022","077129002","Age 0-4","Both Sexes","Number","11"
"Population","2022","217156007/02","Age 0-4","Males","Number","8"
"Population","2022","217156007/02","Age 0-4","Females","Number","8"
"Population","2022","217156007/02","Age 0-4","Both Sexes","Number","16"
"Population","2022","077014002","Age 0-4","Males","Number","8"
"Population","2022","077014002","Age 0-4","Females","Number","3"
"Population","2022","077014002","Age 0-4","Both Sexes","Number","11"
"Population","2022","268134002","Age 0-4","Males","Number","3"
"Population","2022","268134002","Age 0-4","Females","Number","8"
"Population","2022","268134002","Age 0-4","Both Sexes","Number","11"
"Population","2022","187068001","Age 0-4","Males","Number","5"
"Population","2022","187068001","Age 0-4","Females","Number","4"
"Population","2022","187068001","Age 0-4","Both Sexes","Number","9"
"Population","2022","147034016","Age 0-4","Males","Number","4"
"Population","2022","147034016","Age 0-4","Females","Number","8"
"Population","2022","147034016","Age 0-4","Both Sexes","Number","12"
"Population","2022","217050002","Age 0-4","Males","Number","11"
"Population","2022","217050002","Age 0-4","Females","Number","7"
"Population","2022","217050002","Age 0-4","Both Sexes","Number","18"
"Population","2022","267124003","Age 0-4","Males","Number","1"
"Population","2022","267124003","Age 0-4","Females","Number","3"
"Population","2022","267124003","Age 0-4","Both Sexes","Number","4"
"Population","2022","087058001","Age 0-4","Males","Number","8"
"Population","2022","087058001","Age 0-4","Females","Number","7"
"Population","2022","087058001","Age 0-4","Both Sexes","Number","15"
"Population","2022","187018015","Age 0-4","Males","Number","15"
"Population","2022","187018015","Age 0-4","Females","Number","12"
"Population","2022","187018015","Age 0-4","Both Sexes","Number","27"
"Population","2022","157109003","Age 0-4","Males","Number","5"
"Population","2022","157109003","Age 0-4","Females","Number","4"
"Population","2022","157109003","Age 0-4","Both Sexes","Number","9"
"Population","2022","267010004","Age 0-4","Males","Number","5"
"Population","2022","267010004","Age 0-4","Females","Number","3"
"Population","2022","267010004","Age 0-4","Both Sexes","Number","8"
"Population","2022","157116001","Age 0-4","Males","Number","3"
"Population","2022","157116001","Age 0-4","Females","Number","8"
"Population","2022","157116001","Age 0-4","Both Sexes","Number","11"
"Population","2022","047298006","Age 0-4","Males","Number","3"
"Population","2022","047298006","Age 0-4","Females","Number","6"
"Population","2022","047298006","Age 0-4","Both Sexes","Number","9"
"Population","2022","047106025","Age 0-4","Males","Number","7"
"Population","2022","047106025","Age 0-4","Females","Number","12"
"Population","2022","047106025","Age 0-4","Both Sexes","Number","19"
"Population","2022","097011006","Age 0-4","Males","Number","3"
"Population","2022","097011006","Age 0-4","Females","Number","10"
"Population","2022","097011006","Age 0-4","Both Sexes","Number","13"
"Population","2022","267116010","Age 0-4","Males","Number","6"
"Population","2022","267116010","Age 0-4","Females","Number","5"
"Population","2022","267116010","Age 0-4","Both Sexes","Number","11"
"Population","2022","217039002","Age 0-4","Males","Number","9"
"Population","2022","217039002","Age 0-4","Females","Number","14"
"Population","2022","217039002","Age 0-4","Both Sexes","Number","23"
"Population","2022","167021001","Age 0-4","Males","Number","12"
"Population","2022","167021001","Age 0-4","Females","Number","19"
"Population","2022","167021001","Age 0-4","Both Sexes","Number","31"
"Population","2022","227090003","Age 0-4","Males","Number","3"
"Population","2022","227090003","Age 0-4","Females","Number","3"
"Population","2022","227090003","Age 0-4","Both Sexes","Number","6"
"Population","2022","167085006","Age 0-4","Males","Number","20"
"Population","2022","167085006","Age 0-4","Females","Number","13"
"Population","2022","167085006","Age 0-4","Both Sexes","Number","33"
"Population","2022","017036002","Age 0-4","Males","Number","9"
"Population","2022","017036002","Age 0-4","Females","Number","10"
"Population","2022","017036002","Age 0-4","Both Sexes","Number","19"
"Population","2022","267068001","Age 0-4","Males","Number","9"
"Population","2022","267068001","Age 0-4","Females","Number","6"
