"Statistic Label"                                      ,"Census Year" ,"Sex"        ,"Citizenship"                                                          ,"Administrative County"                 ,"UNIT"   ,"VALUE"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Longford County Council"               ,"Number" ,"254"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Louth County Council"                  ,"Number" ,"646"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Meath County Council"                  ,"Number" ,"1042"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Offaly County Council"                 ,"Number" ,"348"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Westmeath County Council"              ,"Number" ,"527"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Wexford County Council"                ,"Number" ,"1185"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Wicklow County Council"                ,"Number" ,"1226"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Clare County Council"                  ,"Number" ,"896"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Cork City Council"                     ,"Number" ,"1106"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Cork County Council"                   ,"Number" ,"2614"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Kerry County Council"                  ,"Number" ,"1281"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Limerick City & County Council"        ,"Number" ,"1017"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Tipperary County Council"              ,"Number" ,"949"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Waterford City & County Council"       ,"Number" ,"887"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Galway City Council"                   ,"Number" ,"590"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Galway County Council"                 ,"Number" ,"1577"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Leitrim County Council"                ,"Number" ,"344"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Mayo  County Council"                  ,"Number" ,"1481"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Roscommon County Council"              ,"Number" ,"538"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Sligo County Council"                  ,"Number" ,"570"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Cavan County Council"                  ,"Number" ,"507"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Donegal County Council"                ,"Number" ,"1867"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United Kingdom of Great Britain and Northern Ireland (the)" ,"Monaghan County Council"               ,"Number" ,"343"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Ireland"                               ,"Number" ,"30044"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Carlow County Council"                 ,"Number" ,"208"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Dublin City Council"                   ,"Number" ,"3229"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"2282"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Fingal County Council"                 ,"Number" ,"1525"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"South Dublin County Council"           ,"Number" ,"890"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Kildare County Council"                ,"Number" ,"1083"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Kilkenny County Council"               ,"Number" ,"380"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Laois County Council"                  ,"Number" ,"226"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Longford County Council"               ,"Number" ,"316"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Louth County Council"                  ,"Number" ,"512"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Meath County Council"                  ,"Number" ,"1091"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Offaly County Council"                 ,"Number" ,"304"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Westmeath County Council"              ,"Number" ,"521"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Wexford County Council"                ,"Number" ,"512"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Wicklow County Council"                ,"Number" ,"995"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Clare County Council"                  ,"Number" ,"1347"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Cork City Council"                     ,"Number" ,"1291"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Cork County Council"                   ,"Number" ,"2057"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Kerry County Council"                  ,"Number" ,"1724"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Limerick City & County Council"        ,"Number" ,"1044"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Tipperary County Council"              ,"Number" ,"685"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Waterford City & County Council"       ,"Number" ,"509"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Galway City Council"                   ,"Number" ,"895"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Galway County Council"                 ,"Number" ,"2203"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Leitrim County Council"                ,"Number" ,"276"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Mayo  County Council"                  ,"Number" ,"1227"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Roscommon County Council"              ,"Number" ,"409"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Sligo County Council"                  ,"Number" ,"518"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Cavan County Council"                  ,"Number" ,"440"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Donegal County Council"                ,"Number" ,"1032"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - United States of America (the)"                             ,"Monaghan County Council"               ,"Number" ,"313"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Ireland"                               ,"Number" ,"5924"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Carlow County Council"                 ,"Number" ,"50"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Dublin City Council"                   ,"Number" ,"775"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"567"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Fingal County Council"                 ,"Number" ,"630"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"South Dublin County Council"           ,"Number" ,"450"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Kildare County Council"                ,"Number" ,"307"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Kilkenny County Council"               ,"Number" ,"76"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Laois County Council"                  ,"Number" ,"83"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Longford County Council"               ,"Number" ,"48"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Louth County Council"                  ,"Number" ,"172"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Meath County Council"                  ,"Number" ,"217"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Offaly County Council"                 ,"Number" ,"67"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Westmeath County Council"              ,"Number" ,"82"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Wexford County Council"                ,"Number" ,"159"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Wicklow County Council"                ,"Number" ,"250"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Clare County Council"                  ,"Number" ,"118"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Cork City Council"                     ,"Number" ,"288"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Cork County Council"                   ,"Number" ,"298"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Kerry County Council"                  ,"Number" ,"134"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Limerick City & County Council"        ,"Number" ,"201"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Tipperary County Council"              ,"Number" ,"129"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Waterford City & County Council"       ,"Number" ,"128"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Galway City Council"                   ,"Number" ,"106"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Galway County Council"                 ,"Number" ,"170"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Leitrim County Council"                ,"Number" ,"23"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Mayo  County Council"                  ,"Number" ,"84"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Roscommon County Council"              ,"Number" ,"68"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Sligo County Council"                  ,"Number" ,"47"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Cavan County Council"                  ,"Number" ,"94"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Donegal County Council"                ,"Number" ,"59"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other Europe(1)"                                            ,"Monaghan County Council"               ,"Number" ,"44"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Ireland"                               ,"Number" ,"4837"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Carlow County Council"                 ,"Number" ,"19"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Dublin City Council"                   ,"Number" ,"696"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"421"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Fingal County Council"                 ,"Number" ,"563"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"South Dublin County Council"           ,"Number" ,"396"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Kildare County Council"                ,"Number" ,"264"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Kilkenny County Council"               ,"Number" ,"63"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Laois County Council"                  ,"Number" ,"59"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Longford County Council"               ,"Number" ,"30"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Louth County Council"                  ,"Number" ,"111"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Meath County Council"                  ,"Number" ,"240"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Offaly County Council"                 ,"Number" ,"35"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Westmeath County Council"              ,"Number" ,"93"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Wexford County Council"                ,"Number" ,"103"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Wicklow County Council"                ,"Number" ,"159"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Clare County Council"                  ,"Number" ,"113"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Cork City Council"                     ,"Number" ,"253"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Cork County Council"                   ,"Number" ,"278"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Kerry County Council"                  ,"Number" ,"79"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Limerick City & County Council"        ,"Number" ,"156"
"Population Usually Resident and Present in the State" ,"2022"        ,"Both sexes" ,"Ireland - Other countries"                                            ,"Tipperary County Council"              ,"Number" ,"61"
