"Statistic Label","Census Year","Electoral Divisions","UNIT","VALUE"
"Persons of all ages","2022","Mansion House B, Dublin City","Number","1021"
"Persons of all ages","2022","Merchants Quay A, Dublin City","Number","2749"
"Persons of all ages","2022","Merchants Quay B, Dublin City","Number","4343"
"Persons of all ages","2022","Merchants Quay C, Dublin City","Number","3814"
"Persons of all ages","2022","Merchants Quay D, Dublin City","Number","2575"
"Persons of all ages","2022","Merchants Quay E, Dublin City","Number","2651"
"Persons of all ages","2022","Merchants Quay F, Dublin City","Number","2328"
"Persons of all ages","2022","Mountjoy A, Dublin City","Number","7374"
"Persons of all ages","2022","Mountjoy B, Dublin City","Number","4537"
"Persons of all ages","2022","North City, Dublin City","Number","6749"
"Persons of all ages","2022","North Dock A, Dublin City","Number","1406"
"Persons of all ages","2022","North Dock B, Dublin City","Number","10173"
"Persons of all ages","2022","North Dock C, Dublin City","Number","4328"
"Persons of all ages","2022","Pembroke East A, Dublin City","Number","5017"
"Persons of all ages","2022","Pembroke East B, Dublin City","Number","3852"
"Persons of all ages","2022","Pembroke East C, Dublin City","Number","4179"
"Persons of all ages","2022","Pembroke East D, Dublin City","Number","5368"
"Persons of all ages","2022","Pembroke East E, Dublin City","Number","3924"
"Persons of all ages","2022","Pembroke West A, Dublin City","Number","5144"
"Persons of all ages","2022","Pembroke West B, Dublin City","Number","3214"
"Persons of all ages","2022","Pembroke West C, Dublin City","Number","4385"
"Persons of all ages","2022","Phoenix Park, Dublin City","Number","1465"
"Persons of all ages","2022","Priorswood A, Dublin City","Number","1574"
"Persons of all ages","2022","Priorswood B, Dublin City","Number","2794"
"Persons of all ages","2022","Priorswood C, Dublin City","Number","4883"
"Persons of all ages","2022","Priorswood D, Dublin City","Number","2653"
"Persons of all ages","2022","Priorswood E, Dublin City","Number","2771"
"Persons of all ages","2022","Raheny-Foxfield, Dublin City","Number","2553"
"Persons of all ages","2022","Raheny-Greendale, Dublin City","Number","2262"
"Persons of all ages","2022","Raheny-St. Assam, Dublin City","Number","3919"
"Persons of all ages","2022","Rathfarnham, Dublin City","Number","5768"
"Persons of all ages","2022","Rathmines East A, Dublin City","Number","4979"
"Persons of all ages","2022","Rathmines East B, Dublin City","Number","5705"
"Persons of all ages","2022","Rathmines East C, Dublin City","Number","3484"
"Persons of all ages","2022","Rathmines East D, Dublin City","Number","2755"
"Persons of all ages","2022","Rathmines West A, Dublin City","Number","6115"
"Persons of all ages","2022","Rathmines West B, Dublin City","Number","3818"
"Persons of all ages","2022","Rathmines West C, Dublin City","Number","2857"
"Persons of all ages","2022","Rathmines West D, Dublin City","Number","3222"
"Persons of all ages","2022","Rathmines West E, Dublin City","Number","3712"
"Persons of all ages","2022","Rathmines West F, Dublin City","Number","2943"
"Persons of all ages","2022","Rotunda A, Dublin City","Number","6528"
"Persons of all ages","2022","Rotunda B, Dublin City","Number","3589"
"Persons of all ages","2022","Royal Exchange A, Dublin City","Number","5063"
"Persons of all ages","2022","Royal Exchange B, Dublin City","Number","2213"
"Persons of all ages","2022","Saint Kevin's, Dublin City","Number","5732"
"Persons of all ages","2022","South Dock, Dublin City","Number","8320"
"Persons of all ages","2022","Terenure A, Dublin City","Number","3982"
"Persons of all ages","2022","Terenure B, Dublin City","Number","3746"
"Persons of all ages","2022","Terenure C, Dublin City","Number","1881"
"Persons of all ages","2022","Terenure D, Dublin City","Number","782"
"Persons of all ages","2022","Ushers A, Dublin City","Number","5117"
"Persons of all ages","2022","Ushers B, Dublin City","Number","1903"
"Persons of all ages","2022","Ushers C, Dublin City","Number","4069"
"Persons of all ages","2022","Ushers D, Dublin City","Number","2390"
"Persons of all ages","2022","Ushers E, Dublin City","Number","1859"
"Persons of all ages","2022","Ushers F, Dublin City","Number","3461"
"Persons of all ages","2022","Walkinstown A, Dublin City","Number","2947"
"Persons of all ages","2022","Walkinstown B, Dublin City","Number","2014"
"Persons of all ages","2022","Walkinstown C, Dublin City","Number","2481"
"Persons of all ages","2022","Whitehall A, Dublin City","Number","3117"
"Persons of all ages","2022","Whitehall B, Dublin City","Number","4371"
"Persons of all ages","2022","Whitehall C, Dublin City","Number","2908"
"Persons of all ages","2022","Whitehall D, Dublin City","Number","3279"
"Persons of all ages","2022","Wood Quay A, Dublin City","Number","2871"
"Persons of all ages","2022","Wood Quay B, Dublin City","Number","3907"
"Persons of all ages","2022","Ballinascorney, South Dublin","Number","874"
"Persons of all ages","2022","Ballyboden, South Dublin","Number","5246"
"Persons of all ages","2022","Bohernabreena, South Dublin","Number","5672"
"Persons of all ages","2022","Clondalkin Village, South Dublin","Number","9388"
"Persons of all ages","2022","Clondalkin-Ballymount, South Dublin","Number","2320"
"Persons of all ages","2022","Clondalkin-Cappaghmore, South Dublin","Number","2445"
"Persons of all ages","2022","Clondalkin-Dunawley, South Dublin","Number","11298"
"Persons of all ages","2022","Clondalkin-Monastery, South Dublin","Number","11357"
"Persons of all ages","2022","Clondalkin-Moorfield, South Dublin","Number","7024"
"Persons of all ages","2022","Clondalkin-Rowlagh, South Dublin","Number","4106"
"Persons of all ages","2022","Edmondstown, South Dublin","Number","5685"
"Persons of all ages","2022","Firhouse Village, South Dublin","Number","12254"
"Persons of all ages","2022","Firhouse-Ballycullen, South Dublin","Number","10522"
"Persons of all ages","2022","Firhouse-Knocklyon, South Dublin","Number","3510"
"Persons of all ages","2022","Lucan Heights, South Dublin","Number","5131"
"Persons of all ages","2022","Lucan-Esker, South Dublin","Number","33849"
"Persons of all ages","2022","Lucan-St. Helens, South Dublin","Number","16805"
"Persons of all ages","2022","Newcastle, South Dublin","Number","5552"
"Persons of all ages","2022","Palmerston Village, South Dublin","Number","3689"
"Persons of all ages","2022","Palmerston West, South Dublin","Number","7323"
"Persons of all ages","2022","Rathcoole, South Dublin","Number","6590"
"Persons of all ages","2022","Rathfarnham Village, South Dublin","Number","3145"
"Persons of all ages","2022","Rathfarnham-Ballyroan, South Dublin","Number","2743"
"Persons of all ages","2022","Rathfarnham-Butterfield, South Dublin","Number","3290"
"Persons of all ages","2022","Rathfarnham-Hermitage, South Dublin","Number","4378"
"Persons of all ages","2022","Rathfarnham-St. Enda's, South Dublin","Number","3952"
"Persons of all ages","2022","Saggart, South Dublin","Number","6248"
"Persons of all ages","2022","Tallaght-Avonbeg, South Dublin","Number","1543"
"Persons of all ages","2022","Tallaght-Belgard, South Dublin","Number","1635"
"Persons of all ages","2022","Tallaght-Fettercairn, South Dublin","Number","11335"
"Persons of all ages","2022","Tallaght-Glenview, South Dublin","Number","2171"
"Persons of all ages","2022","Tallaght-Jobstown, South Dublin","Number","18125"
"Persons of all ages","2022","Tallaght-Killinardan, South Dublin","Number","3878"
"Persons of all ages","2022","Tallaght-Kilnamanagh, South Dublin","Number","4394"
"Persons of all ages","2022","Tallaght-Kiltipper, South Dublin","Number","9432"
"Persons of all ages","2022","Tallaght-Kingswood, South Dublin","Number","4291"
"Persons of all ages","2022","Tallaght-Millbrook, South Dublin","Number","3338"
"Persons of all ages","2022","Tallaght-Oldbawn, South Dublin","Number","4445"
"Persons of all ages","2022","Tallaght-Springfield, South Dublin","Number","11297"
"Persons of all ages","2022","Tallaght-Tymon, South Dublin","Number","5138"
"Persons of all ages","2022","Templeogue Village, South Dublin","Number","2270"
"Persons of all ages","2022","Templeogue-Cypress, South Dublin","Number","2807"
"Persons of all ages","2022","Templeogue-Kimmage Manor, South Dublin","Number","4929"
"Persons of all ages","2022","Templeogue-Limekiln, South Dublin","Number","3821"
"Persons of all ages","2022","Templeogue-Orwell, South Dublin","Number","1991"
"Persons of all ages","2022","Templeogue-Osprey, South Dublin","Number","2258"
"Persons of all ages","2022","Terenure-Cherryfield, South Dublin","Number","2229"
"Persons of all ages","2022","Terenure-Greentrees, South Dublin","Number","2948"
"Persons of all ages","2022","Terenure-St. James, South Dublin","Number","2404"
"Persons of all ages","2022","Airport, Fingal","Number","6152"
"Persons of all ages","2022","Balbriggan Rural, Fingal","Number","19347"
"Persons of all ages","2022","Balbriggan Urban, Fingal","Number","8102"
"Persons of all ages","2022","Baldoyle, Fingal","Number","8096"
"Persons of all ages","2022","Balgriffin, Fingal","Number","5544"
"Persons of all ages","2022","Ballyboghil, Fingal","Number","1629"
"Persons of all ages","2022","Balscadden, Fingal","Number","743"
"Persons of all ages","2022","Blanchardstown-Abbotstown, Fingal","Number","6551"
"Persons of all ages","2022","Blanchardstown-Blakestown, Fingal","Number","43905"
"Persons of all ages","2022","Blanchardstown-Coolmine, Fingal","Number","11271"
"Persons of all ages","2022","Blanchardstown-Corduff, Fingal","Number","3689"
"Persons of all ages","2022","Blanchardstown-Delwood, Fingal","Number","5144"
"Persons of all ages","2022","Blanchardstown-Mulhuddart, Fingal","Number","4219"
"Persons of all ages","2022","Blanchardstown-Roselawn, Fingal","Number","1647"
"Persons of all ages","2022","Blanchardstown-Tyrrelstown, Fingal","Number","3343"
"Persons of all ages","2022","Castleknock-Knockmaroon, Fingal","Number","20967"
"Persons of all ages","2022","Castleknock-Park, Fingal","Number","6355"
"Persons of all ages","2022","Clonmethan, Fingal","Number","933"
"Persons of all ages","2022","Donabate, Fingal","Number","11783"
"Persons of all ages","2022","Dubber, Fingal","Number","8931"
"Persons of all ages","2022","Garristown, Fingal","Number","1801"
"Persons of all ages","2022","Hollywood, Fingal","Number","1476"
"Persons of all ages","2022","Holmpatrick, Fingal","Number","4147"
"Persons of all ages","2022","Howth, Fingal","Number","8399"
"Persons of all ages","2022","Kilsallaghan, Fingal","Number","2406"
"Persons of all ages","2022","Kinsaley, Fingal","Number","11470"
"Persons of all ages","2022","Lucan North, Fingal","Number","1765"
"Persons of all ages","2022","Lusk, Fingal","Number","10774"
"Persons of all ages","2022","Malahide East, Fingal","Number","8406"
"Persons of all ages","2022","Malahide West, Fingal","Number","6014"
"Persons of all ages","2022","Portmarnock North, Fingal","Number","4048"
"Persons of all ages","2022","Portmarnock South, Fingal","Number","4729"
"Persons of all ages","2022","Rush, Fingal","Number","11116"
"Persons of all ages","2022","Skerries, Fingal","Number","8880"
"Persons of all ages","2022","Sutton, Fingal","Number","5789"
"Persons of all ages","2022","Swords Village, Fingal","Number","2786"
"Persons of all ages","2022","Swords-Forrest, Fingal","Number","15926"
"Persons of all ages","2022","Swords-Glasmore, Fingal","Number","7674"
"Persons of all ages","2022","Swords-Lissenhall, Fingal","Number","12065"
"Persons of all ages","2022","Swords-Seatown, Fingal","Number","7465"
"Persons of all ages","2022","The Ward, Fingal","Number","13289"
"Persons of all ages","2022","Turnapin, Fingal","Number","1730"
"Persons of all ages","2022","Ballinteer-Broadford, Dún Laoghaire-Rathdown","Number","2480"
"Persons of all ages","2022","Ballinteer-Ludford, Dún Laoghaire-Rathdown","Number","2110"
"Persons of all ages","2022","Ballinteer-Marley, Dún Laoghaire-Rathdown","Number","2222"
"Persons of all ages","2022","Ballinteer-Meadowbroads, Dún Laoghaire-Rathdown","Number","1696"
"Persons of all ages","2022","Ballinteer-Meadowmount, Dún Laoghaire-Rathdown","Number","1828"
"Persons of all ages","2022","Ballinteer-Woodpark, Dún Laoghaire-Rathdown","Number","5323"
"Persons of all ages","2022","Ballybrack, Dún Laoghaire-Rathdown","Number","2872"
"Persons of all ages","2022","Blackrock-Booterstown, Dún Laoghaire-Rathdown","Number","3629"
"Persons of all ages","2022","Blackrock-Carysfort, Dún Laoghaire-Rathdown","Number","6232"
"Persons of all ages","2022","Blackrock-Central, Dún Laoghaire-Rathdown","Number","3774"
"Persons of all ages","2022","Blackrock-Glenomena, Dún Laoghaire-Rathdown","Number","2000"
"Persons of all ages","2022","Blackrock-Monkstown, Dún Laoghaire-Rathdown","Number","3422"
"Persons of all ages","2022","Blackrock-Newpark, Dún Laoghaire-Rathdown","Number","2278"
"Persons of all ages","2022","Blackrock-Seapoint, Dún Laoghaire-Rathdown","Number","1519"
"Persons of all ages","2022","Blackrock-Stradbrook, Dún Laoghaire-Rathdown","Number","2612"
"Persons of all ages","2022","Blackrock-Templehill, Dún Laoghaire-Rathdown","Number","2810"
"Persons of all ages","2022","Blackrock-Williamstown, Dún Laoghaire-Rathdown","Number","2876"
"Persons of all ages","2022","Cabinteely-Granitefield, Dún Laoghaire-Rathdown","Number","2713"
"Persons of all ages","2022","Cabinteely-Kilbogget, Dún Laoghaire-Rathdown","Number","2683"
"Persons of all ages","2022","Cabinteely-Loughlinstown, Dún Laoghaire-Rathdown","Number","5362"
"Persons of all ages","2022","Cabinteely-Pottery, Dún Laoghaire-Rathdown","Number","5106"
"Persons of all ages","2022","Churchtown-Castle, Dún Laoghaire-Rathdown","Number","1911"
"Persons of all ages","2022","Churchtown-Landscape, Dún Laoghaire-Rathdown","Number","1446"
"Persons of all ages","2022","Churchtown-Nutgrove, Dún Laoghaire-Rathdown","Number","3190"
"Persons of all ages","2022","Churchtown-Orwell, Dún Laoghaire-Rathdown","Number","1968"
"Persons of all ages","2022","Churchtown-Woodlawn, Dún Laoghaire-Rathdown","Number","1529"
"Persons of all ages","2022","Clonskeagh-Belfield, Dún Laoghaire-Rathdown","Number","3754"
"Persons of all ages","2022","Clonskeagh-Farranboley, Dún Laoghaire-Rathdown","Number","1751"
"Persons of all ages","2022","Clonskeagh-Milltown, Dún Laoghaire-Rathdown","Number","2252"
"Persons of all ages","2022","Clonskeagh-Roebuck, Dún Laoghaire-Rathdown","Number","3365"
"Persons of all ages","2022","Clonskeagh-Windy Arbour, Dún Laoghaire-Rathdown","Number","3020"
"Persons of all ages","2022","Dalkey Hill, Dún Laoghaire-Rathdown","Number","1536"
"Persons of all ages","2022","Dalkey Upper, Dún Laoghaire-Rathdown","Number","2144"
"Persons of all ages","2022","Dalkey-Avondale, Dún Laoghaire-Rathdown","Number","1439"
"Persons of all ages","2022","Dalkey-Bullock, Dún Laoghaire-Rathdown","Number","1802"
"Persons of all ages","2022","Dalkey-Coliemore, Dún Laoghaire-Rathdown","Number","1354"
"Persons of all ages","2022","Dundrum-Balally, Dún Laoghaire-Rathdown","Number","8844"
"Persons of all ages","2022","Dundrum-Kilmacud, Dún Laoghaire-Rathdown","Number","3495"
"Persons of all ages","2022","Dundrum-Sandyford, Dún Laoghaire-Rathdown","Number","7638"
"Persons of all ages","2022","Dundrum-Sweetmount, Dún Laoghaire-Rathdown","Number","2689"
"Persons of all ages","2022","Dundrum-Taney, Dún Laoghaire-Rathdown","Number","2748"
"Persons of all ages","2022","Dún Laoghaire-East Central, Dún Laoghaire-Rathdown","Number","2604"
"Persons of all ages","2022","Dún Laoghaire-Glasthule, Dún Laoghaire-Rathdown","Number","2982"
"Persons of all ages","2022","Dún Laoghaire-Glenageary, Dún Laoghaire-Rathdown","Number","4516"
"Persons of all ages","2022","Dún Laoghaire-Monkstown Farm, Dún Laoghaire-Rathdown","Number","2321"
"Persons of all ages","2022","Dún Laoghaire-Mount Town, Dún Laoghaire-Rathdown","Number","1915"
"Persons of all ages","2022","Dún Laoghaire-Sallynoggin East, Dún Laoghaire-Rathdown","Number","2941"
"Persons of all ages","2022","Dún Laoghaire-Sallynoggin South, Dún Laoghaire-Rathdown","Number","1434"
"Persons of all ages","2022","Dún Laoghaire-Sallynoggin West, Dún Laoghaire-Rathdown","Number","4354"
"Persons of all ages","2022","Dún Laoghaire-Salthill, Dún Laoghaire-Rathdown","Number","1758"
"Persons of all ages","2022","Dún Laoghaire-Sandycove, Dún Laoghaire-Rathdown","Number","3688"
"Persons of all ages","2022","Dún Laoghaire-West Central, Dún Laoghaire-Rathdown","Number","2726"
"Persons of all ages","2022","Foxrock-Beechpark, Dún Laoghaire-Rathdown","Number","1758"
"Persons of all ages","2022","Foxrock-Carrickmines, Dún Laoghaire-Rathdown","Number","6324"
"Persons of all ages","2022","Foxrock-Deansgrange, Dún Laoghaire-Rathdown","Number","2523"
"Persons of all ages","2022","Foxrock-Torquay, Dún Laoghaire-Rathdown","Number","1558"
"Persons of all ages","2022","Glencullen, Dún Laoghaire-Rathdown","Number","23596"
"Persons of all ages","2022","Killiney North, Dún Laoghaire-Rathdown","Number","3390"
"Persons of all ages","2022","Killiney South, Dún Laoghaire-Rathdown","Number","6386"
"Persons of all ages","2022","Shankill-Rathmichael, Dún Laoghaire-Rathdown","Number","5731"
"Persons of all ages","2022","Shankill-Rathsallagh, Dún Laoghaire-Rathdown","Number","3254"
"Persons of all ages","2022","Shankill-Shanganagh, Dún Laoghaire-Rathdown","Number","5522"
"Persons of all ages","2022","Stillorgan-Deerpark, Dún Laoghaire-Rathdown","Number","3001"
"Persons of all ages","2022","Stillorgan-Kilmacud, Dún Laoghaire-Rathdown","Number","4249"
"Persons of all ages","2022","Stillorgan-Leopardstown, Dún Laoghaire-Rathdown","Number","2973"
"Persons of all ages","2022","Stillorgan-Merville, Dún Laoghaire-Rathdown","Number","3275"
"Persons of all ages","2022","Stillorgan-Mount Merrion, Dún Laoghaire-Rathdown","Number","2445"
"Persons of all ages","2022","Stillorgan-Priory, Dún Laoghaire-Rathdown","Number","2269"
"Persons of all ages","2022","Tibradden, Dún Laoghaire-Rathdown","Number","945"
"Persons of all ages","2022","Athy East Urban, Kildare","Number","4216"
"Persons of all ages","2022","Athy Rural, Kildare","Number","4548"
"Persons of all ages","2022","Athy West Urban, Kildare","Number","3123"
"Persons of all ages","2022","Ballaghmoon, Kildare","Number","223"
"Persons of all ages","2022","Ballitore, Kildare","Number","1245"
"Persons of all ages","2022","Ballybrackan, Kildare","Number","660"
"Persons of all ages","2022","Ballymore Eustace, Kildare","Number","1589"
"Persons of all ages","2022","Ballynadrumny, Kildare","Number","580"
"Persons of all ages","2022","Ballysax East, Kildare","Number","2090"
"Persons of all ages","2022","Ballysax West, Kildare","Number","1233"
"Persons of all ages","2022","Ballyshannon, Kildare","Number","1813"
"Persons of all ages","2022","Balraheen, Kildare","Number","2559"
"Persons of all ages","2022","Belan, Kildare","Number","321"
"Persons of all ages","2022","Bert, Kildare","Number","172"
"Persons of all ages","2022","Bodenstown, Kildare","Number","5091"
"Persons of all ages","2022","Burtown, Kildare","Number","421"
"Persons of all ages","2022","Cadamstown, Kildare","Number","1554"
"Persons of all ages","2022","Carbury, Kildare","Number","2345"
"Persons of all ages","2022","Carnalway, Kildare","Number","2043"
"Persons of all ages","2022","Carragh, Kildare","Number","1854"
"Persons of all ages","2022","Carrick, Kildare","Number","304"
"Persons of all ages","2022","Carrigeen, Kildare","Number","644"
